City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Safonovo,RU,2022-02-23 17:43:28,55.15,33.2167,22.23,95,100,3.42
159,Alta,NO,2022-02-23 17:43:29,69.9689,23.2717,11.46,71,20,18.41
160,Vaini,TO,2022-02-23 17:43:30,-21.2,-175.2,77.16,100,75,3.44
161,High Level,CA,2022-02-23 17:40:14,58.5169,-117.136,1.51,85,75,3.44
162,Pucara,PE,2022-02-23 17:43:31,-15.9803,-71.4606,35.73,63,78,9.33
163,Udachnyy,RU,2022-02-23 17:43:31,66.4167,112.4,10.45,78,100,6.89
164,Chokurdakh,RU,2022-02-23 17:43:32,70.6333,147.9167,-22.67,90,1,8.05
165,Moissala,TD,2022-02-23 17:43:32,8.3404,17.7663,84.81,11,44,4.72
166,Altay,CN,2022-02-23 17:43:33,47.8667,88.1167,14.63,60,89,7.76
167,Pully,CH,2022-02-23 17:43:33,46.5103,6.6618,50.97,71,54,4.0
168,Bandar-E Anzali,IR,2022-02-23 17:43:34,37.4727,49.4622,51.91,82,0,4.0
169,Russell,US,2022-02-23 17:43:34,32.3502,-85.1999,76.05,74,75,6.91
170,Ukiah,US,2022-02-23 17:43:34,39.1502,-123.2078,46.63,83,2,2.73
171,Pagudpud,PH,2022-02-23 17:43:35,18.5616,120.7868,72.64,93,98,19.39
172,Gwembe,ZM,2022-02-23 17:43:35,-16.4975,27.6069,65.52,71,11,4.38
173,Mizan Teferi,ET,2022-02-23 17:43:36,6.9833,35.5833,70.72,51,100,0.76
174,Tautira,PF,2022-02-23 17:43:36,-17.7333,-149.15,80.62,70,82,10.27
175,Santa Cruz,BO,2022-02-23 17:43:37,-17.8,-63.1667,84.25,65,75,6.91
176,Norman Wells,CA,2022-02-23 17:43:38,65.282,-126.8329,24.84,74,75,16.11
177,Cobh,IE,2022-02-23 17:43:38,51.8572,-8.2992,49.1,86,75,18.41
178,Deputatskiy,RU,2022-02-23 17:43:39,69.3,139.9,-20.7,90,31,1.95
179,Vylkove,UA,2022-02-23 17:43:39,45.4021,29.586,46.45,54,97,4.0
180,Tsiroanomandidy,MG,2022-02-23 17:43:40,-18.7667,46.0333,67.89,96,100,5.1
181,Avarua,CK,2022-02-23 17:43:41,-21.2078,-159.775,78.85,83,75,4.61
182,Shaoyang,CN,2022-02-23 17:43:41,27.2315,111.4525,39.45,83,100,2.95
183,Leshukonskoye,RU,2022-02-23 17:43:42,64.8989,45.7622,4.06,100,95,4.05
184,College,US,2022-02-23 17:43:42,64.8569,-147.8028,6.75,83,75,3.44
185,Houma,US,2022-02-23 17:38:52,29.5958,-90.7195,82.0,79,75,12.66
