City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
144,Lorengau,PG,77.45,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
146,Adrar,MR,75.92,clear sky,20.5022,-10.0711,
147,Bijie,CN,49.87,overcast clouds,27.3125,105.2942,Four Points by Sheraton Bijie
148,Marzuq,YE,63.82,overcast clouds,14.4,46.4667,
149,Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
150,Albany,US,40.48,snow,42.6001,-73.9662,
151,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
152,Atar,MR,78.75,clear sky,20.5169,-13.0499,Oumou Elghoura
154,Lincoln,US,66.58,mist,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
156,Moengo,SR,73.08,overcast clouds,5.6167,-54.4,Masanga
159,Palmer,US,41.63,overcast clouds,42.1584,-72.3287,Wedgewood Motel
161,Fort Walton Beach,US,80.53,clear sky,30.4058,-86.6188,Best Western Ft. Walton Beachfront
165,Behbahan,IR,63.72,overcast clouds,30.5959,50.2417,شهرکدامداران ماهشهر
166,Viedma,AR,71.67,few clouds,-40.8135,-62.9967,Hotel Cristal
167,Japura,ID,73.62,light rain,-0.3167,102.35,Rumah mbah Jamah
168,Saldanha,ZA,66.34,few clouds,-33.0117,17.9442,Blue Bay Lodge
169,Te Anau,NZ,55.72,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
171,Ploemeur,FR,47.82,scattered clouds,47.7333,-3.4333,Best Western Plus Hotel Les Rives Du Ter
172,Kalmunai,LK,76.84,overcast clouds,7.4167,81.8167,VS Villa
173,Hobart,AU,57.06,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
174,Carnarvon,AU,73.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
176,Danjiangkou,CN,53.8,overcast clouds,32.5428,111.5086,Dongsheng Guesthouse
177,Westport,US,45.3,overcast clouds,41.1415,-73.3579,The Inn at Longshore
178,George Town,MY,76.95,scattered clouds,5.4112,100.3354,Cititel Penang
179,South Yuba City,US,47.08,overcast clouds,39.1166,-121.6391,Bonanza Inn & Suites Yuba City
180,East London,ZA,73.08,clear sky,-33.0153,27.9116,Tu Casa
184,Bumba,CD,80.73,broken clouds,2.1833,22.4667,Père Carlos
185,Golspie,GB,45.37,broken clouds,57.9727,-3.978,Granite Villa Guest House
186,La Quinta,US,63.5,clear sky,33.6634,-116.31,Embassy Suites by Hilton La Quinta Hotel & Spa
189,Salalah,OM,77.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
191,Sokoni,TZ,81.45,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
192,Tooele,US,47.19,overcast clouds,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
193,Caravelas,BR,83.91,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
195,Katsuura,JP,48.18,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
196,Salinopolis,BR,81.46,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
199,Dingtao,CN,45.23,overcast clouds,35.0683,115.5625,VX Heze Dingtao District Taoyi Road Hotel
200,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
204,Palaikastron,GR,58.75,overcast clouds,35.2,26.25,Marina Village
205,Uvinza,TZ,68.77,light rain,-5.1036,30.3911,Crown Lodge and lounge
207,Moerai,PF,80.28,light rain,-22.4333,-151.3333,Le Manotel
208,Dicabisagan,PH,73.33,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
210,Luangwa,ZM,75.04,few clouds,-15.6167,30.4167,Gerasimos Safari Lodge
212,Upata,VE,85.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
213,Portland,US,47.25,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
214,Christchurch,NZ,60.01,overcast clouds,-43.5333,172.6333,The George
218,Fortuna,US,47.93,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
220,Sawakin,SD,75.0,overcast clouds,19.1059,37.3321,فندق الدويم
223,Port Moresby,PG,77.86,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
224,Graham,US,45.12,overcast clouds,47.0529,-122.2943,Moxie Meadows Hostel
225,Itacarambi,BR,84.38,overcast clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
226,Guerrero Negro,MX,63.41,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
228,Pascagoula,US,81.32,overcast clouds,30.3658,-88.5561,Regency Inn
229,Saint George,US,52.39,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
230,Qurbus,TN,53.94,scattered clouds,36.8167,10.5687,اقامةالمياه المعدنية
231,Trairi,BR,85.12,overcast clouds,-3.2778,-39.2689,janelas do mar
232,Gotsu,JP,42.93,scattered clouds,35.0,132.2167,Yurusato
233,Hamilton,US,74.66,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
234,Flinders,AU,69.19,moderate rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
235,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
237,Tambopata,PE,82.29,broken clouds,-12.7333,-69.1833,
238,Shu,KZ,49.05,light rain,43.5983,73.7614,Shyngyzkhan
239,Encinitas,US,59.02,overcast clouds,33.037,-117.292,Days Inn by Wyndham Encinitas Moonlight Beach
241,Auki,SB,77.81,overcast clouds,-8.7676,160.7034,Auki Motel
243,Sakakah,SA,67.57,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
245,Ingham,US,53.55,clear sky,42.6,-84.3833,Sunset Mobile Home Park
246,Creston,US,60.08,broken clouds,41.0586,-94.3614,Supertel Inn & Conference Center
247,Kaitangata,NZ,54.18,light rain,-46.2817,169.8464,Kaitangata Motor Camp
248,Machiques,VE,90.34,broken clouds,10.0644,-72.545,hotel el markes
249,Mayo,US,60.13,clear sky,38.8876,-76.5119,Resorts Resource Group International
250,Vila,PT,47.75,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
251,Tuatapere,NZ,63.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
252,Thaba Nchu,ZA,64.0,overcast clouds,-29.2093,26.839,Real Time Guest House
253,Durban,ZA,74.93,broken clouds,-29.8579,31.0292,Hilton Durban
254,Talladega,US,78.49,broken clouds,33.4359,-86.1058,"Holiday Inn Express & Suites Talladega, an IHG Hotel"
255,Vestmanna,FO,41.92,overcast clouds,62.1564,-7.1664,Vestmanna Camping
257,San Francisco,US,52.43,few clouds,37.7749,-122.4194,Edwardian Hotel
258,Itarema,BR,85.95,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
260,Olavarria,AR,79.02,overcast clouds,-36.8927,-60.3225,Hotel Santa Rosa
261,Grindavik,IS,43.27,mist,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
262,Elwood,AU,66.16,overcast clouds,-37.8817,144.983,Base Backpackers St Kilda
264,Vaitape,PF,81.55,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
265,Coihaique,CL,54.21,light intensity shower rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
266,Dembi Dolo,ET,70.09,broken clouds,8.5333,34.8,Dembi dollo plaza
267,Port Lavaca,US,80.11,broken clouds,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
268,Yenagoa,NG,83.89,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
269,Coquimbo,CL,69.53,clear sky,-29.9533,-71.3436,Hotel San Juan
270,Vao,NC,78.04,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
271,Nuevitas,CU,83.64,scattered clouds,21.5453,-77.2644,Hotel Caonaba
272,Ilhabela,BR,83.26,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
273,Rorvik,NO,40.24,overcast clouds,64.8621,11.2373,Kysthotellet Rørvik AS
274,Dong Hoi,VN,71.62,broken clouds,17.4833,106.6,Nam Long Hotel
277,Antioch,TR,51.62,overcast clouds,36.2066,36.1572,The Liwan Hotel
278,Sitka,US,40.89,light rain,57.0531,-135.33,Westmark Sitka
279,Rajnagar,IN,68.14,clear sky,24.8833,79.9167,The LaLiT Temple View Khajuraho
280,Santiago,CL,82.17,broken clouds,-33.4569,-70.6483,Hotel Panamericano
281,Safaga,EG,69.75,broken clouds,26.7292,33.9365,Lamar Resort Abu Soma
283,Sao Felix Do Xingu,BR,77.0,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
284,Umm Kaddadah,SD,81.7,overcast clouds,13.6017,26.6876,
